"name","from","package","simulation_id","deleted","height1","height2","height3","height4","height5","height6","height7","phi1","phi2","phi3","phi4","phi5","phi6","theta1","theta2","theta3","theta4","theta5","theta6","r_h1","r_h2","r_h3","r_h4","r_h5","r_h6","e1","e2","e3","e4","e5","e6","PCA_phi1","PCA_phi2","PCA_phi3","PCA_phi4","PCA_phi5","PCA_phi6","PCA_theta1","PCA_theta2","PCA_theta3","PCA_theta4","PCA_theta5","PCA_theta6","w1","w2","w3","w4","w5","w6","b_01","b_02","b_03","b_04","b_05","b_06","b_11","b_12","b_13","b_14","b_15","b_16","b_21","b_22","b_23","b_24","b_25","b_26"
"humantempidm16porta1secc1somacel9","rep_and_seg","load_test",NA,FALSE,1.15664095495547,3.1426763484695,4.11699282311494,3.84679821836792,3.33189239866491,3.3477334781206,0.771194986447907,-0.453983808155955,0.0565474612525771,0.191583314638372,0.325516477557055,-0.0523881634286492,-1.25518000724369,1.01930729147606,0.701911750884851,0.773469315245207,1.20124037356754,1.14541977415411,1.1608757727695,1.08979147192135,1.20538382712689,1.27002685644892,1.16679077401156,0.956340521367294,1.00606472497701,0.890771819494322,0.703797292414571,0.678255583467263,0.900905320030256,0.986577751641857,0.966358900070159,-0.314169126278644,-0.153633390127526,-0.0167596930171376,-0.0030684877030455,-0.100205017528354,-0.348139152613647,1.38961580717303,1.1193057627767,0.999419083918947,1.05819790861261,1.10554315276689,1.14983918154148,-1.14123303390738,-1.38374783483813,-1.28415328703599,-1.12450684632529,0.971382026175966,1.09709144254715,0.337469668692661,5.59001391509365,8.30300415566857,11.5286535641866,14.7371209055576,17.7499171568133,-0.00650262753377684,-0.0359704517761621,-0.00763956154524186,0.00235215188718183,-0.000199226333841155,-0.00242131039691125,0.0915164660455549,-0.0147627811511649,-0.000967831076005642,-0.000543380713444847,0.000355077819028015,0.000353700025266518
"humantempidm16porta3secc1somacel11","rep_and_seg","load_test",NA,FALSE,1.7985805127743,2.70309604448753,2.71822828805657,2.57322392134128,2.68044261150884,2.56300684116598,1.49910460588874,-0.404138838457503,0.0193209207665323,-0.04311857250097,-0.456255341500722,1.6659493581235,2.39634509920091,1.43500692262947,1.27335771365619,1.24366581692919,1.33656875417531,1.45942010931686,1.41807510499279,0.769883322573825,1.07979362502583,1.25965428220982,1.20456907255207,0.98413296281255,0.788542770889102,0.874296789112289,0.730458270525835,0.714819773883261,0.762330775357947,0.906546160424476,0.964636533262915,2.62867039457988,-0.0761916902975431,-0.0206832621632181,0.069723646266907,1.39433204430482,2.32671108228218,1.50930257634329,1.47313484914116,1.42002613251413,1.45493172351487,1.48926036646288,1.41267974990496,1.08533381352105,1.08416318645014,1.03677303484776,1.01551103738268,0.767895761568045,1.48413271598245,2.65823335678436,6.37751263406763,7.77069852750742,9.50231897693627,11.8589711971881,14.1927778307313,-0.118778090497532,-0.0770069782348504,-0.0193952828180914,0.0093834289070291,0.0176942566477263,0.000935944916220122,-0.0418359357918295,-0.0737583818902443,-0.0187381083389853,0.000845545846082142,0.000140670249960446,-0.000102876238117469
"humantempidm16porta3secc1somacel12","rep_and_seg","load_test",NA,FALSE,1.07590496432716,2.5849157914267,2.55803901068323,2.42632783386443,2.59450561869793,2.48527722262723,1.99589314494047,-0.679271149632357,0.170943750222301,0.132341578985948,0.0529518517888678,0.0755542417598435,-0.50290864266629,1.35623758663401,1.13985426192787,1.00580132271891,1.0168481320937,1.32425232582851,1.44000437083821,0.929537531631532,1.13919839534322,1.34134853166493,1.4004610123457,1.12827198720857,0.738490895733863,0.823874857312883,0.643570339783289,0.604483746802394,0.576662999867924,0.676717040440187,0.840266999025812,1.35581002452027,-0.0775700305875089,-0.00305450136028006,0.000997839639806486,0.0543882751609945,-0.440693001902097,1.49570247143486,1.3736337737484,1.26022559663354,1.25196053747411,1.35262583251797,1.51710126186438,0.959278656296855,0.974269777702668,0.917963915714411,0.81130316870329,0.660426466203302,0.620176475039634,1.96019173955993,4.04560516385125,6.5442807117482,7.92479380595957,10.3554369356951,12.7344621855703,-0.145508410087144,-0.0420744113034515,-0.0186603399681198,0.0188996640731593,0.0340591496554546,0.0123086986251447,-0.0356485157052822,0.015169287853421,-0.0133505868587356,0.0171919313898617,0.00667981128559658,0.000499178389874433
"humantempidm16porta3secc1somacel13","rep_and_seg","load_test",NA,FALSE,1.46471594016878,2.95898055790868,3.05285711183582,2.99035154175574,2.87845616857286,2.7315367840232,1.11895513721588,0.209929261102982,0.130725616500745,-0.622198894673319,-0.986456905462333,0.98301660578602,2.18995923163467,1.32999895617714,1.20466677237329,1.11190078646151,1.28715228187204,1.45713825815289,0.179598224816615,0.905630856432564,1.26639717152161,1.4019214909389,1.32207892802821,1.1355760141011,1.08016128083836,0.812530177599247,0.559656531437809,0.574318031001682,0.638030654998469,0.693631876812296,0.725426094151999,-2.33286589419512,0.0942775646120966,0.0415097056776245,0.119689317928945,1.70632145466673,2.11487566286907,1.51982563686506,1.41751434529016,1.36841734319285,1.44044604452189,1.42558129215199,1.08885916021396,-1.19592061555814,-1.34067327339139,-1.47413727531481,1.5604217760599,-1.51858153790399,0.607350122010996,2.83812818299393,6.404332282152,7.93986156273124,9.95084416979191,12.1981008938759,12.4178006014447,-0.143128414965757,-0.0645120778428875,-0.0151475224113182,0.00802004426171914,0.00839838833427766,0.000394273086460876,-0.0620585330585847,-0.0586134544578639,-0.0100818902431967,0.000949549625598186,-0.00552761766703313,-0.00375301787412637
"humantempidm16porta3secc1somacel22","rep_and_seg","load_test",NA,FALSE,1.26878274061637,3.0992270540266,4.15857653220651,3.65670335220402,3.48580271399448,4.05238228217561,2.26921969499765,0.325751634295647,-0.0878620042968966,0.0888451559778878,0.433907775513906,0.381527944581317,-2.19889442948902,1.50234279548792,1.07553198973888,1.1431754611849,1.18037577948553,1.35489261732309,1.05229769102507,1.08777555243246,1.24579936853673,1.26272273175551,1.21999566581198,0.974996636088866,0.843144303619661,0.835694917290105,0.681668322233937,0.697191906037975,0.76803869685411,0.771630216735792,0.764401044817565,-2.58942572050559,0.163671054679145,-0.0204818915193505,0.00955811960121142,-0.459462987777201,-2.09142177732078,-1.48379891460625,1.42210467123852,1.32416550474788,1.3541059128602,1.46408965496934,1.18260949440439,0.278215659453235,0.726273667308264,0.680604996320679,0.620955305784016,0.726404735531666,-0.944751466671522,-5.14125368784292,7.11355037944694,9.16455004000304,11.5992777818135,15.0814881222301,16.0380609930217,0.21587425785924,-0.0497017155929903,-0.0124604582137697,0.00271050263827509,-0.0125881661917672,-0.0388632478619226,0.194111095940785,-0.0500254116914809,-0.0129239089940147,0.00638936433590779,0.00266978314029985,0.000549491504986041
"humantempidm16porta3secc1somacel25","rep_and_seg","load_test",NA,FALSE,1.60398915932179,2.92371970782134,3.49720340008768,3.58632523016831,3.42140747531746,3.37773939079577,1.77724159483137,0.110708974407115,-0.139762921623546,0.0661532782793603,-0.183963682588798,0.405900466406656,-0.198194065434183,1.25547307072083,0.980946510057921,0.965851515857026,1.40679658442418,1.32812237547798,1.02278900586195,0.92918313450614,1.13710084888487,1.31846299347492,1.28811268320918,1.02557736620212,0.811278291241735,0.888578129675343,0.784832742913175,0.675550383398785,0.733471963369556,0.847688262429331,0.956303662511299,0.933577730650887,0.0740235192977913,-0.0240553396258639,0.0160539037305366,0.0556501060250398,-0.209008400924088,1.48855370293417,1.28862321130949,1.19779558205523,1.23062825957497,1.22202632271343,1.04597353592263,0.655114653560299,0.806234276728052,0.675775939220825,0.531886269453408,0.242253814230655,0.19689196861064,2.66637593505187,6.82644442411564,8.67576166082099,11.1198212118612,13.4375515192304,17.5069384827783,-0.0984755883464904,-0.0590336316811807,-0.0143886846767412,0.0055027888603482,0.0305360551676833,0.0127505917162887,-0.0355941081256113,-0.0533440334936185,-0.0147593978042787,-0.00117294422033526,0.0278421264011569,0.000223247736653291
